sim	c_1086	1	400	0.00461156	1000000
sim	c_1086	2	550	0.00461122	1000000
sim	c_1086	3	650	0.00461101	1000000
sim	c_1086	4	800	0.00461089	1000000
sim	c_54	5	400	0.00243027	1000000
sim	c_54	6	550	0.00243016	1000000
sim	c_54	7	650	0.00243016	1000000
sim	c_54	8	800	0.00243015	1000000
sim	c_2198	9	400	0.00857534	1000000
sim	c_2198	10	550	0.00857413	1000000
sim	c_2198	11	650	0.00857138	1000000
sim	c_2198	12	800	0.00857147	1000000
sim	empty	13	400	0	1000000
sim	empty	14	550	0	1000000
sim	empty	15	650	0	1000000
sim	empty	16	800	0	1000000
